1,CA-2016-152156,CG-12520,FUR-BO-10001798,1,282,1,Second Class,261.96,2,0.0,41.9136
2,CA-2016-152156,CG-12520,FUR-BO-10001798,294,282,1,Second Class,261.96,2,0.0,41.9136
3,CA-2016-152156,CG-12520,FUR-CH-10000454,1,282,1,Second Class,731.94,3,0.0,219.582
4,CA-2016-152156,CG-12520,FUR-CH-10000454,294,282,1,Second Class,731.94,3,0.0,219.582
5,CA-2016-138688,DV-13045,OFF-LA-10000240,2,842,2,Second Class,14.62,2,0.0,6.8714
6,US-2015-108966,SO-20335,FUR-TA-10000577,3,1077,3,Standard Class,957.5775,5,0.45,-383.031
7,US-2015-108966,SO-20335,OFF-ST-10000760,3,1077,3,Standard Class,22.368,2,0.2,2.5164
8,CA-2014-115812,BH-11710,FUR-FU-10001487,2,611,4,Standard Class,48.86,7,0.0,14.1694
9,CA-2014-115812,BH-11710,OFF-AR-10002833,2,611,4,Standard Class,7.28,4,0.0,1.9656
10,CA-2014-115812,BH-11710,TEC-PH-10002275,2,611,4,Standard Class,907.152,6,0.2,90.7152
11,CA-2014-115812,BH-11710,OFF-BI-10003910,2,611,4,Standard Class,18.504,3,0.2,5.7825
12,CA-2014-115812,BH-11710,OFF-AP-10002892,2,611,4,Standard Class,114.9,5,0.0,34.47
13,CA-2014-115812,BH-11710,FUR-TA-10001539,2,611,4,Standard Class,1706.184,9,0.2,85.3092
14,CA-2014-115812,BH-11710,TEC-PH-10002033,2,611,4,Standard Class,911.424,4,0.2,68.3568
15,CA-2017-114412,AA-10480,OFF-PA-10002365,4,340,5,Standard Class,15.552,3,0.2,5.4432
16,CA-2017-114412,AA-10480,OFF-PA-10002365,121,340,5,Standard Class,15.552,3,0.2,5.4432
17,CA-2017-114412,AA-10480,OFF-PA-10002365,183,340,5,Standard Class,15.552,3,0.2,5.4432
18,CA-2016-161389,IM-15070,OFF-BI-10003656,5,456,6,Standard Class,407.976,3,0.2,132.5922
19,US-2015-118983,HP-14815,OFF-AP-10002311,6,587,7,Standard Class,68.81,5,0.8,-123.858
20,US-2015-118983,HP-14815,OFF-BI-10000756,6,587,7,Standard Class,2.544,3,0.8,-3.816
21,CA-2014-105893,PK-19075,OFF-ST-10004186,7,194,8,Standard Class,665.88,6,0.0,13.3176
22,CA-2014-167164,AG-10270,OFF-ST-10000107,8,1335,9,Second Class,55.5,2,0.0,9.99
23,CA-2014-143336,ZD-21925,OFF-AR-10003056,9,56,10,Second Class,8.56,2,0.0,2.4824
24,CA-2014-143336,ZD-21925,TEC-PH-10001949,9,56,10,Second Class,213.48,3,0.2,16.011
25,CA-2014-143336,ZD-21925,OFF-BI-10002215,9,56,10,Second Class,22.72,4,0.2,7.384
26,CA-2016-137330,KB-16585,OFF-AR-10000246,10,67,11,Standard Class,19.46,7,0.0,5.0596
27,CA-2016-137330,KB-16585,OFF-AP-10001492,10,67,11,Standard Class,60.34,7,0.0,15.6884
28,US-2017-156909,SF-20065,FUR-CH-10002774,11,1303,12,Second Class,71.372,2,0.3,-1.0196
29,CA-2015-106320,EB-13870,FUR-TA-10000577,12,1306,13,Standard Class,1044.63,3,0.0,240.2649
30,CA-2016-121755,EH-13945,OFF-BI-10001634,2,1336,14,Second Class,11.648,2,0.2,4.2224
31,CA-2016-121755,EH-13945,TEC-AC-10003027,2,1336,14,Second Class,90.57,3,0.0,11.7741
32,US-2015-150630,TB-21520,FUR-BO-10004834,11,732,15,Standard Class,3083.43,7,0.5,-1665.0522
